"filename", "language", "JavaScript", "JSON", "Firebase Rules", "XML", "HTML", "CSS", "JSON with Comments", "comment", "blank", "total"
"d:\Projects\CodeExpresso\CodeExpresso-4\CodeExpresso-4.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\gameImages\map.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\CodeExpressoNavTitle.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\back.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\back_default.svg", "XML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\back_hover.svg", "XML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\center.svg", "XML", 0, 0, 0, 74, 0, 0, 0, 1, 2, 77
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\default_profile_pic.svg", "XML", 0, 0, 0, 60, 0, 0, 0, 1, 2, 63
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\gold_coffee_bean.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\google_icon.svg", "XML", 0, 0, 0, 73, 0, 0, 0, 1, 2, 76
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\left.svg", "XML", 0, 0, 0, 74, 0, 0, 0, 1, 2, 77
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\profile.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\right.svg", "XML", 0, 0, 0, 88, 0, 0, 0, 1, 2, 91
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\settings.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\shopping_cart.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\images\x_icon.svg", "XML", 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\coffee.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\coffee_profile_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\coffee_settings_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy.svg", "XML", 0, 0, 0, 110, 0, 0, 0, 0, 1, 111
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy_button.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy_levels_button.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy_profile_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy_settings_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy_start_button.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\fantasy_title.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\tropical.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\tropical_levels_button.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\tropical_profile_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\tropical_settings_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\tropical_start_button.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Projects\CodeExpresso\CodeExpresso-4\assets\themes\tropical_title.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\122.599ac28296ad5b238d94.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\123.a1859ce88d22edc942ad.css", "CSS", 0, 0, 0, 0, 0, 433, 0, 115, 80, 628
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\188.6777eb2076ec324815aa.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\199ae7571b09d0c3f3cf.svg", "XML", 0, 0, 0, 74, 0, 0, 0, 1, 2, 77
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\26.0724b62fe0413357562f.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 13, 1, 18
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\26.78c630f648e85792a16e.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\339.aea234b206a0419ff006.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\346.66253eb85d3bb1382fd8.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\347.2824a2aae7b07cf230f7.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\3d3d46668cc57ea47d05.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\444.960d6a1264e72acc9b36.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\450.e40745d6acd2424a1697.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\478.a323db062e6919d7e355.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\50834e96a43b253b6633.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\510.45840836c531d019905f.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\531b8359e94593f79b07.svg", "XML", 0, 0, 0, 74, 0, 0, 0, 1, 2, 77
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\5519b10be1a91c3e6701.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\57.a5347e458b044130d6b7.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\5fd48307a8efd44f3291.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\60879426e4107d3606db.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\638.c0cf0ce7d559acaa10eb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\670.25d67d4df1e8ec0b572e.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\71c68304adfd0e5b22d3.svg", "XML", 0, 0, 0, 110, 0, 0, 0, 0, 1, 111
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\723.614ab2c42ecdf817cf59.css", "CSS", 0, 0, 0, 0, 0, 737, 0, 105, 141, 983
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\828.8c6923583719a801c740.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\839.ca7525d80a17a8e51ded.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\84ccf314dd4b37715912.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\88.804dd96ba58772081f2a.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\882.6d96b84970a775068f12.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\888729c4f2f959144d30.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\892.0ba37de648213f73a63a.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\909.d62c75932334b842d2b0.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\943.f046129c20a53faeb498.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\a02527dc70096a4dd7fc.svg", "XML", 0, 0, 0, 73, 0, 0, 0, 1, 2, 76
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\activate.cc20d9a69417a879a5b3.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\activate.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\c3b53a7f3094fb6d2ff1.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\e393014f18c85730b1cd.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\e5d45dede732f09d0454.svg", "XML", 0, 0, 0, 88, 0, 0, 0, 1, 2, 91
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\ec62a86b80a2e3bc1eec.webmanifest", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\forgot.9d46d543c9e3378ce8bb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\forgot.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\index.61cf35d85ad9eb873865.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\level1-1.6ce2022986b7b542a8fc.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\level1-1.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\level1-2.4dea848850f8d250b20e.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\level1-2.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\levels.d24bc76e30d857c2a753.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\levels.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\login.bac0b88144ea3196b79a.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\login.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\profile.764e9f2e667fda66982a.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\profile.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\seqprog_easy.45c2f70bfad86d31be07.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\seqprog_easy.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\shop.402ecc09f0780e5b9326.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\shop.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\signup.8346ff3bf0c200ae0628.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\signup.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\verify.86412e58df6ab030d568.css", "CSS", 0, 0, 0, 0, 0, 378, 0, 86, 68, 532
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\verify.fd4456a0b35a69b78e4c.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\CodeExpresso\CodeExpresso-4\dist\verify.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
